Population,BroodYear,EscapeIndex,EscapementMethod,WeirRemovals,Spawners1,Spawners2.min,Spawners2.nom,Spawners2.max,Recruits1,Recruits2.min,Recruits2.nom,Recruits2.max,NumAgeClasses,CoreRecruits1,CoreRecruits2.min,CoreRecruits2.nom,CoreRecruits2.max,NumCoreAgeClasses,RecruitsPerSpawner,CoreRecruitsPerSpawner
Alexander,1980,NA,NA,NA,NA,NA,NA,NA,5388,8105,8105,8105,5,5371,8070,8070,8070,3,NA,NA
Alexander,1981,NA,NA,NA,NA,NA,NA,NA,3946,6494,6494,6494,5,3901,6414,6414,6414,3,NA,NA
Alexander,1982,2546,Aerial survey,NA,2546,2546,2546,2546,4380,7774,7774,7774,5,4352,7708,7708,7708,3,3.0534171249018067,3.0274941084053415
Alexander,1983,3755,Aerial survey,NA,3755,3755,3755,3755,4279,8658,8658,8658,5,4258,8598,8598,8598,3,2.3057256990679096,2.2897470039946737
Alexander,1984,4620,Aerial survey,NA,4620,4620,4620,4620,3552,8429,8429,8429,5,3533,8364,8364,8364,3,1.8244588744588746,1.8103896103896104
Alexander,1985,6241,Aerial survey,NA,6241,6241,6241,6241,2772,8347,8347,8347,5,2742,8284,8284,8284,3,1.337445922127864,1.327351385995834
Alexander,1986,5225,Aerial survey,NA,5225,5225,5225,5225,3019,8285,8285,8285,5,2999,8224,8224,8224,3,1.585645933014354,1.5739712918660287
Alexander,1987,2152,Aerial survey,NA,2152,2152,2152,2152,3086,7902,7902,7902,5,3074,7862,7862,7862,3,3.6719330855018586,3.653345724907063
Alexander,1988,6273,Aerial survey,NA,6273,6273,6273,6273,2457,6565,6565,6565,5,2441,6528,6528,6528,3,1.0465487007811254,1.0406504065040652
Alexander,1989,3497,Aerial survey,NA,3497,3497,3497,3497,1950,4608,4608,4608,5,1930,4572,4572,4572,3,1.3177008864741206,1.3074063482985416
Alexander,1990,2596,Aerial survey,NA,2596,2596,2596,2596,2018,3450,3450,3450,5,1984,3394,3394,3394,3,1.3289676425269645,1.3073959938366717
Alexander,1991,2727,Aerial survey,NA,2727,2727,2727,2727,3260,4448,4448,4448,5,3242,4414,4414,4414,3,1.6310964429776311,1.6186285295196186
Alexander,1992,3710,Aerial survey,NA,3710,3710,3710,3710,3863,5164,5164,5164,5,3838,5123,5123,5123,3,1.3919137466307279,1.3808625336927223
Alexander,1993,2763,Aerial survey,NA,2763,2763,2763,2763,3748,5348,5348,5348,5,3728,5310,5310,5310,3,1.935577271082157,1.9218241042345277
Alexander,1994,1514,Aerial survey,NA,1514,1514,1514,1514,3149,5315,5315,5315,5,3110,5258,5258,5258,3,3.510568031704095,3.472919418758256
Alexander,1995,2090,Aerial survey,NA,2090,2090,2090,2090,2682,5130,5130,5130,5,2658,5090,5090,5090,3,2.4545454545454546,2.4354066985645932
Alexander,1996,2319,Aerial survey,NA,2319,2319,2319,2319,2170,4427,4427,4427,5,2134,4368,4368,4368,3,1.9090125053902545,1.8835705045278137
Alexander,1997,5598,Aerial survey,NA,5598,5598,5598,5598,2011,4115,4115,4115,5,1985,4064,4064,4064,3,0.7350839585566273,0.7259735619864237
Alexander,1998,2807,Aerial survey,NA,2807,2807,2807,2807,2003,3922,3922,3922,5,1975,3870,3870,3870,3,1.397221232632704,1.3786961168507303
Alexander,1999,3974,Aerial survey,NA,3974,3974,3974,3974,2090,3517,3517,3517,5,2066,3469,3469,3469,3,0.8850025163563161,0.8729240060392551
Alexander,2e3,2331,Aerial survey,NA,2331,2331,2331,2331,1833,3013,3013,3013,5,1807,2959,2959,2959,3,1.2925782925782925,1.2694122694122694
Alexander,2001,2282,Aerial survey,NA,2282,2282,2282,2282,1161,2217,2217,2217,5,1129,2169,2169,2169,3,0.9715162138475022,0.9504820333041192
Alexander,2002,1936,Aerial survey,NA,1936,1936,1936,1936,549,1094,1094,1094,5,514,1043,1043,1043,3,0.5650826446280992,0.5387396694214877
Alexander,2003,2012,Aerial survey,NA,2012,2012,2012,2012,284,404,404,404,5,268,364,364,364,3,0.20079522862823063,0.18091451292246521
Alexander,2004,2215,Aerial survey,NA,2215,2215,2215,2215,217,225,225,225,5,206,206,206,206,3,0.10158013544018059,0.09300225733634311
Alexander,2005,2140,Aerial survey,NA,2140,2140,2140,2140,233,233,233,233,5,229,229,229,229,3,0.1088785046728972,0.10700934579439253
Alexander,2006,885,Aerial survey,NA,885,885,885,885,254,254,254,254,5,245,245,245,245,3,0.28700564971751413,0.2768361581920904
Alexander,2007,480,Aerial survey,NA,480,480,480,480,296,296,296,296,5,288,288,288,288,3,0.6166666666666667,0.6
Alexander,2008,150,Aerial survey,NA,150,150,150,150,479,479,479,479,5,466,466,466,466,3,3.1933333333333334,3.1066666666666665
Alexander,2009,275,Aerial survey,NA,275,275,275,275,NA,NA,NA,NA,NA,654,654,654,654,3,NA,2.3781818181818184
Anchor,2003,13273,Weir,NA,13273,13273,13273,13273,6822,8316,8316,8316,5,6250,7700,7700,7700,3,0.6265350711971672,0.5801250659233029
Anchor,2004,12016,Weir,NA,12016,12016,12016,12016,2832,3743,3743,3743,5,2784,3619,3619,3619,3,0.31150133155792276,0.30118175765645805
Anchor,2005,11156,Weir,NA,11156,11156,11156,11156,4506,5026,5026,5026,5,4250,4708,4708,4708,3,0.4505198996055934,0.4220150591609896
Anchor,2006,8945,Weir,NA,8945,8945,8945,8945,3535,3987,3987,3987,5,3266,3682,3682,3682,3,0.4457238680827278,0.4116266070430408
